リークアドレス,リークサイズ,保持時間
3105605493440,48,3803375
3105605495600,80,3803297
3105605495696,144,3803250
3105605496656,144,3803172
3105605496816,80,3803109
3105605496912,80,3803047
3105605495856,32,3803000
3105605497008,80,3802937
3105605497104,48,3802875
3105605497168,48,3802797
3105605497232,144,3802734
3105605497392,48,3802687
3105605486640,48,3802437
3105605488448,272,3802375
3105605497456,472,3802312
3105605488736,272,3802250
3105605497944,272,3802187
3105605489024,48,3802125
3105605498232,272,3802062
3105605498520,272,3801812
3105605499360,272,3801750
3105605499648,144,3801687
3105605495112,24,3801625
3105605489088,24,3801562
3105605499808,144,3801500
3105605499968,272,3801437
3105605500256,48,3801375
3105605500408,48,3801000
3105605500320,48,3800875
3105605500472,24,3800750
3105605492296,24,3800562
3105605500568,24,3800500
3105605500512,24,3800328
3105605500680,24,3800250
3105605500720,24,3800187
3105605500760,24,3800125
3105605500904,24,3799625
3105605500944,48,3799562
3105605500840,24,3799375
3105605500800,24,3799219
